,time1,time2,workers1,workers2
0,1.0,1.0,4.0,10.0
1,2.0,2.0,8.0,20.0
2,3.0,3.0,13.0,23.0
3,4.0,4.0,17.0,24.0
4,1.0,1.0,7.0,19.0
5,2.0,2.0,10.0,28.0
6,3.0,3.0,13.0,30.0
7,1.0,1.0,6.0,16.0
8,2.0,2.0,8.0,25.0
9,3.0,3.0,8.0,39.0
10,1.0,1.0,3.0,30.0
11,2.0,2.0,4.0,55.0
12,1.0,1.0,1.0,42.0
13,2.0,2.0,3.0,63.0
14,3.0,0.0,4.0,34.0
15,0.0,1.0,2.0,64.0
16,1.0,0.0,4.0,33.0
17,2.0,1.0,7.0,62.0
18,1.0,1.0,4.0,43.0
