,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,[1. 1. 1.],[1. 1. 1.],2,17:16:11
2,1.0,1.0,0.0,9.0,0.0,18.0,2.0,2.0,54.0,2,[1. 1. 1.],[1. 1. 1.],2,17:17:11
3,1.0,1.0,5.0,29.0,5.0,41.0,3.0,3.0,138.0,3,[1. 1. 1.],[1. 1. 1.],2,17:18:16
4,1.0,1.0,5.0,29.0,5.0,41.0,4.0,4.0,138.0,4,"[[  0.49779551   0.5274769 ]
 [ -1.13796461  -1.28134688]
 [ 99.64166396 198.19629971]
 [ 19.05625573  52.86414189]]","[[ 0.08864754  0.10221506]
 [ 0.20259008  0.30861293]
 [ 5.12625596 12.52878314]
 [ 2.88766424  8.22055522]]",2,17:20:17
5,1.0,1.0,17.0,61.0,18.0,93.0,5.0,5.0,333.0,5,"[[  0.49779551   0.5274769 ]
 [ -1.13796461  -1.28134688]
 [ 99.64166396 198.19629971]
 [ 19.05625573  52.86414189]]","[[ 0.08864754  0.10221506]
 [ 0.20259008  0.30861293]
 [ 5.12625596 12.52878314]
 [ 2.88766424  8.22055522]]",2,17:21:17
