,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,4.0,0.0,12.0,1.0,1.0,1.0
2,3.0,6.0,3.0,14.0,9.0,42.0,2.0,1.0,1.0
3,3.0,7.0,3.0,17.0,9.0,51.0,3.0,1.0,1.0
4,3.0,10.0,6.0,20.0,18.0,60.0,4.0,1.0,1.0
5,4.0,14.0,8.0,25.0,24.0,75.0,5.0,1.0,1.0
6,6.0,16.0,10.0,28.0,30.0,84.0,6.0,1.0,1.0
7,11.0,18.0,15.0,33.0,45.0,99.0,7.0,1.0,1.0
8,13.0,20.0,19.0,36.0,57.0,108.0,8.0,1.0,1.0
9,13.0,20.0,19.0,37.0,57.0,111.0,9.0,1.0,1.0
10,14.0,20.0,20.0,37.0,60.0,111.0,10.0,1.0,1.0
11,14.0,20.0,20.0,39.0,60.0,117.0,11.0,1.0,1.0
12,14.0,20.0,20.0,40.0,60.0,120.0,12.0,1.0,1.0
13,14.0,23.0,20.0,43.0,60.0,129.0,13.0,1.0,1.0
14,14.0,27.0,20.0,49.0,60.0,147.0,14.0,1.0,1.0
15,14.0,29.0,20.0,52.0,60.0,156.0,15.0,1.0,1.0
16,14.0,29.0,20.0,54.0,60.0,162.0,16.0,1.0,1.0
17,14.0,29.0,20.0,54.0,60.0,162.0,17.0,1.0,1.0
18,14.0,29.0,20.0,56.0,60.0,168.0,18.0,1.0,1.0
19,14.0,30.0,20.0,57.0,60.0,171.0,19.0,1.0,1.0
20,14.0,32.0,20.0,59.0,60.0,177.0,20.0,1.0,1.0
21,14.0,33.0,20.0,60.0,60.0,180.0,21.0,1.0,1.0
22,14.0,33.0,20.0,62.0,60.0,186.0,22.0,1.0,1.0
23,14.0,36.0,20.0,65.0,60.0,195.0,23.0,1.0,1.0
24,14.0,41.0,20.0,70.0,60.0,210.0,24.0,1.0,1.0
25,14.0,43.0,20.0,74.0,60.0,222.0,25.0,1.0,1.0
