5,[2.39454367 7.81146179],[ 7.18363101 23.43438537],[5. 4.]
10,[2.39454367 7.81146179],[ 7.18363101 23.43438537],[5. 4.]
15,[ 1.52074712 18.21509017],[ 4.56224135 54.64527051],[6. 2.]
21,[ 1.41082651 18.21509017],[ 4.23247952 54.64527051],[4. 2.]
