5,[2.25896348 8.81597112],[ 6.77689043 26.44791337],[5. 4.]
10,[2.25896348 8.81597112],[ 6.77689043 26.44791337],[5. 4.]
15,[ 3.61458521 18.31849133],[10.84375563 54.95547398],[3. 2.]
17,[ 3.61458521 18.31849133],[10.84375563 54.95547398],[3. 2.]
19,[ 3.62982536 19.4896251 ],[10.88947607 58.46887529],[3. 2.]
21,[ 3.62982536 19.4896251 ],[10.88947607 58.46887529],[3. 2.]
