,time1,time2,workers1,workers2
0,1.0,1.0,0.0,0.0
1,2.0,2.0,1.0,10.0
2,3.0,3.0,3.0,42.0
3,4.0,4.0,8.0,59.0
4,1.0,1.0,19.0,49.0
5,2.0,2.0,21.0,73.0
6,3.0,3.0,23.0,80.0
7,4.0,0.0,23.0,22.0
8,0.0,1.0,1.0,60.0
9,1.0,2.0,2.0,77.0
10,2.0,3.0,6.0,91.0
11,3.0,0.0,8.0,20.0
12,4.0,1.0,11.0,43.0
13,0.0,1.0,1.0,42.0
14,0.0,1.0,0.0,58.0
15,0.0,1.0,1.0,66.0
16,0.0,1.0,0.0,44.0
