0,1,2,3
0.5,0.51,0.07,0.1
-0.97,-1.2,-0.99,-0.9
49.8,148.64,119.65,249.18
17.99,60.87,48.65,97.02
0,1,2,3
0.53,0.49,0.05,0.32
-1.14,-0.85,-4.08,-0.4
49.36,130.33,2994.88,131.53
21.58,74.99,51.65,72.96
0,1,2,3
0.51,0.49,0.08,0.32
-1.11,-0.74,-4.64,-0.58
49.53,130.62,2996.44,150.52
19.89,85.54,42.21,90.94
