0,1,2,3,4,5,6,7
0.94,18.0,0.66,93.0,0.89,56.0,0.52,97.0
0,1,2,3,4,5,6,7
0.24,29.0,0.65,81.0,0.33,90.0,0.45,69.0
0,1,2,3,4,5,6,7
0.58,19.0,0.44,73.0,0.42,96.0,0.48,90.0
