0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15.18,269.14,13.24,289.18,38.82,94.44,14.64,88.88,13.96,95.56,32.06,54.3,49.08,149.34,47.18,160.36,81.06,110.36,2578.82,720.0
13.08,289.22,10.6,271.48,40.22,95.4,14.84,94.92,13.48,95.5,34.26,60.24,51.0,158.06,44.54,159.56,88.92,121.3,2707.54,720.0
9.0,269.44,9.36,279.12,27.22,125.86,12.38,94.76,12.36,98.42,29.26,68.92,42.2,158.48,40.52,163.22,74.36,139.64,2671.3,720.0
8.0,233.54,7.94,304.76,25.22,140.54,12.36,84.86,12.2,94.16,24.88,69.96,40.0,142.04,38.16,156.24,62.2,140.76,2487.28,720.0
14.94,274.8,10.68,276.52,40.94,102.12,16.46,88.74,14.06,89.68,34.6,55.64,55.32,148.82,44.54,150.38,84.9,113.94,2604.96,720.0
9.0,291.8,10.88,294.46,23.24,90.62,11.96,92.98,12.0,95.4,24.88,51.76,42.2,156.14,40.54,162.44,62.08,105.04,2467.46,720.0
8.86,312.66,10.84,281.82,27.6,78.22,12.52,88.5,13.62,83.88,26.06,51.06,42.12,149.58,44.64,140.06,66.2,100.72,2371.98,720.0
9.0,279.7,10.06,275.22,29.1,116.92,12.78,94.52,12.92,93.5,28.36,64.22,42.2,157.36,42.58,155.74,72.48,128.28,2595.36,720.0
11.68,263.1,10.84,281.66,30.42,122.3,14.16,91.08,12.92,95.18,27.78,62.64,46.68,152.6,44.64,160.44,70.42,130.28,2613.72,720.0
13.9,266.7,10.7,281.2,23.56,123.94,14.6,89.12,12.8,92.22,23.54,66.82,49.22,151.34,42.76,154.52,60.08,132.6,2565.92,720.0
