0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.0,11.58,4.34,76.28,4.0,5.48,5.36,11.46,6.02,107.2,9.66,9.32,18.0,19.76,19.68,179.92,23.0,18.9,1008.14,85.68
5.0,5.5,5.4,210.46,5.0,6.84,6.72,3.22,7.66,308.24,10.92,12.72,23.0,6.24,25.08,516.32,27.0,24.44,2005.52,213.2
7.0,7.0,7.14,322.58,7.0,7.28,9.5,7.22,9.6,482.2,14.2,12.92,32.0,12.0,32.72,798.46,35.0,26.14,3002.16,323.0
9.0,9.0,9.0,435.14,9.0,9.1,12.38,11.38,12.02,651.94,17.2,16.16,40.0,18.0,40.0,1079.82,42.0,32.42,4005.14,435.24
11.0,14.08,16.36,495.14,13.98,30.22,14.7,18.58,19.68,738.46,23.82,46.92,48.0,31.08,67.64,1234.02,59.82,94.44,4997.34,495.38
14.0,20.96,24.48,498.18,23.72,75.36,17.96,29.16,26.72,739.62,38.4,123.46,58.0,47.72,92.56,1239.36,92.48,247.2,5988.98,498.54
17.36,23.0,36.02,497.66,26.96,133.38,21.28,30.06,39.78,741.18,41.18,218.88,68.16,50.72,135.66,1237.58,104.76,440.72,7020.08,498.42
21.0,25.72,34.34,498.46,28.94,197.3,23.88,33.46,35.54,746.2,43.24,330.6,76.0,56.74,124.18,1239.82,107.12,664.1,7973.32,498.46
25.0,33.34,47.1,498.42,30.76,245.78,24.62,42.62,52.18,742.1,40.06,419.74,84.0,70.9,173.96,1240.54,104.72,846.9,8979.5,498.42
31.0,35.3,51.08,499.04,37.24,303.32,29.02,40.46,53.5,736.86,44.6,535.02,93.0,68.96,178.74,1227.02,113.88,1074.46,9942.4,499.04
