0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
500.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,35.16,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,36.28,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,34.34,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,35.26,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,36.64,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
500.0,0.0,0.0,0.0,0.0,0.0,36.72,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,714.0,500.0
