0,1,2,3,4,5,6,7,8,9,10,11,12,13
70.4,94.26,94.26,94.02,102.92,136.7,145.8,138.2,336.26,228.02,474.46,227.28,5491.2,94.26
25.42,108.28,108.52,108.52,32.3,160.68,166.64,159.42,98.0,263.74,549.08,264.32,4610.64,108.52
20.36,107.84,110.34,111.3,24.04,157.9,173.24,163.84,74.44,261.54,560.16,270.18,4507.14,111.3
20.38,104.6,113.4,114.84,24.86,153.58,173.08,168.44,74.38,254.04,576.62,280.04,4541.22,114.84
20.54,96.26,114.6,124.82,24.2,141.66,171.16,182.56,74.88,232.64,570.42,304.88,4471.98,124.82
20.36,77.04,109.34,146.14,24.86,111.86,163.4,215.84,74.5,183.32,536.48,358.02,4230.78,146.14
19.98,62.06,85.3,189.24,24.5,88.7,122.34,279.06,73.52,145.04,401.04,466.74,3914.7,189.24
20.04,32.92,55.7,247.26,23.76,45.4,70.3,372.02,73.68,74.56,229.56,612.12,3414.48,247.26
20.26,27.64,50.5,257.12,24.16,38.5,66.68,381.28,74.26,62.22,212.44,636.6,3366.0,257.12
20.2,24.04,35.94,274.28,25.24,32.9,43.82,406.62,74.06,53.74,139.24,679.64,3223.44,274.28
