0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.64,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.48,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.8,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,48.14,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,48.38,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,48.14,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.02,0.0,0.0,0.0,79.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,47.72,0.0,0.0,0.0,79.0,237.0,720.0
