0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.56,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.02,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.62,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,46.48,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.02,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.86,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.72,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.42,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,47.78,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,237.0,720.0
