0,1,2,3,4,5,6,7,8,9,10,11,12,13
11.12,28.6,8.86,57.78,16.68,35.14,12.8,42.2,53.4,57.3,44.02,69.74,1005.48,106.36
17.38,193.5,8.66,219.98,19.58,85.54,11.72,90.46,63.38,141.18,41.94,150.3,1804.08,439.52
11.12,227.48,12.02,227.38,14.28,95.12,14.2,97.04,50.24,160.68,46.84,160.64,1887.96,478.0
13.82,216.72,13.14,234.32,17.24,90.94,15.1,94.44,54.68,152.54,51.04,158.78,1872.78,478.0
15.52,222.28,12.36,227.84,18.16,95.58,15.12,97.24,60.8,158.28,50.56,159.84,1945.68,478.0
16.58,231.72,14.48,215.22,18.42,99.72,15.62,94.72,61.08,166.28,53.08,158.34,1998.42,478.0
18.06,246.58,17.46,195.9,19.18,100.72,18.28,86.3,63.64,164.5,60.0,145.5,1985.34,478.0
12.24,231.28,11.24,223.24,16.02,93.92,13.96,93.08,52.48,157.4,46.72,155.76,1866.72,478.0
15.0,224.0,11.8,227.2,18.2,93.62,13.86,91.96,58.88,155.4,48.64,156.94,1902.42,478.0
12.76,210.2,12.02,243.02,15.32,93.78,13.54,98.86,52.6,154.4,46.84,165.4,1878.72,478.0
