,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,31.0,38.0,58.0,45.0,58.0,0.0,86.0,90.0,99.0,120.0,125.0,0.0,150.0,270.0,171.0,322.0,260.0,4551.0,58.0
1,0.0,28.0,38.0,61.0,48.0,61.0,0.0,86.0,87.0,108.0,143.0,135.0,0.0,150.0,234.0,180.0,391.0,273.0,4798.0,61.0
2,0.0,34.0,39.0,58.0,43.0,58.0,0.0,70.0,65.0,109.0,146.0,124.0,0.0,120.0,216.0,171.0,345.0,260.0,4301.0,58.0
3,0.0,35.0,44.0,58.0,45.0,58.0,0.0,39.0,87.0,106.0,159.0,134.0,0.0,60.0,288.0,171.0,414.0,260.0,4433.0,58.0
4,0.0,39.0,42.0,61.0,41.0,61.0,0.0,39.0,72.0,118.0,140.0,135.0,0.0,60.0,270.0,180.0,368.0,273.0,4274.0,61.0
5,0.0,28.0,42.0,61.0,43.0,61.0,0.0,37.0,96.0,102.0,151.0,141.0,0.0,60.0,306.0,180.0,368.0,273.0,4382.0,61.0
6,0.0,30.0,40.0,55.0,45.0,55.0,0.0,60.0,74.0,86.0,164.0,140.0,0.0,102.0,234.0,162.0,414.0,247.0,4444.0,55.0
7,0.0,39.0,44.0,61.0,54.0,61.0,0.0,33.0,79.0,117.0,168.0,139.0,0.0,60.0,234.0,180.0,414.0,273.0,4350.0,61.0
8,0.0,29.0,45.0,58.0,44.0,58.0,0.0,67.0,88.0,103.0,124.0,132.0,0.0,120.0,306.0,171.0,322.0,260.0,4479.0,58.0
9,0.0,32.0,29.0,55.0,44.0,55.0,0.0,87.0,77.0,100.0,139.0,120.0,0.0,150.0,270.0,162.0,322.0,247.0,4472.0,55.0
10,0.0,34.0,39.0,58.0,48.0,58.0,0.0,52.0,87.0,98.0,147.0,129.0,0.0,90.0,252.0,171.0,368.0,260.0,4321.0,58.0
11,0.0,40.0,39.0,58.0,44.0,58.0,0.0,55.0,66.0,97.0,156.0,140.0,0.0,90.0,234.0,171.0,368.0,260.0,4267.0,58.0
12,0.0,33.0,42.0,61.0,55.0,61.0,0.0,19.0,68.0,112.0,194.0,129.0,0.0,30.0,234.0,180.0,460.0,273.0,4354.0,61.0
13,0.0,38.0,44.0,61.0,46.0,61.0,0.0,67.0,85.0,89.0,161.0,140.0,0.0,120.0,288.0,180.0,437.0,273.0,4964.0,61.0
14,0.0,37.0,38.0,61.0,48.0,61.0,0.0,55.0,79.0,95.0,139.0,139.0,0.0,90.0,252.0,180.0,322.0,273.0,4216.0,61.0
15,0.0,29.0,44.0,61.0,50.0,61.0,0.0,33.0,80.0,103.0,157.0,132.0,0.0,60.0,270.0,180.0,414.0,273.0,4458.0,61.0
16,0.0,37.0,37.0,61.0,54.0,61.0,0.0,51.0,70.0,105.0,183.0,135.0,0.0,90.0,234.0,180.0,460.0,273.0,4714.0,61.0
17,0.0,34.0,42.0,58.0,43.0,58.0,0.0,69.0,84.0,103.0,150.0,127.0,0.0,111.0,252.0,171.0,345.0,260.0,4355.0,58.0
18,0.0,33.0,38.0,55.0,41.0,55.0,0.0,71.0,80.0,93.0,159.0,127.0,0.0,120.0,234.0,162.0,414.0,247.0,4552.0,55.0
19,0.0,23.0,47.0,58.0,48.0,58.0,0.0,51.0,91.0,102.0,153.0,129.0,0.0,90.0,306.0,171.0,414.0,260.0,4667.0,58.0
20,0.0,32.0,45.0,61.0,43.0,61.0,0.0,61.0,89.0,104.0,135.0,136.0,0.0,90.0,324.0,180.0,345.0,273.0,4524.0,61.0
21,0.0,33.0,39.0,55.0,48.0,55.0,0.0,64.0,58.0,99.0,159.0,133.0,0.0,90.0,198.0,162.0,368.0,247.0,4080.0,55.0
22,0.0,37.0,39.0,58.0,43.0,58.0,0.0,58.0,60.0,110.0,165.0,141.0,0.0,90.0,198.0,171.0,414.0,260.0,4343.0,58.0
23,0.0,28.0,46.0,61.0,46.0,61.0,0.0,54.0,74.0,97.0,187.0,142.0,0.0,90.0,252.0,180.0,437.0,273.0,4676.0,61.0
24,0.0,35.0,44.0,64.0,52.0,64.0,0.0,19.0,79.0,103.0,184.0,138.0,0.0,31.0,252.0,181.0,460.0,286.0,4484.0,64.0
25,0.0,30.0,39.0,49.0,44.0,49.0,0.0,87.0,70.0,100.0,145.0,113.0,0.0,150.0,234.0,150.0,322.0,221.0,4224.0,49.0
26,0.0,21.0,43.0,52.0,38.0,52.0,0.0,88.0,85.0,89.0,136.0,121.0,0.0,150.0,252.0,151.0,345.0,234.0,4428.0,52.0
27,0.0,27.0,44.0,55.0,46.0,55.0,0.0,62.0,81.0,97.0,149.0,124.0,0.0,120.0,270.0,162.0,391.0,247.0,4568.0,55.0
28,0.0,32.0,39.0,61.0,47.0,61.0,0.0,86.0,74.0,109.0,149.0,131.0,0.0,150.0,252.0,180.0,368.0,273.0,4760.0,61.0
29,0.0,33.0,42.0,61.0,50.0,61.0,0.0,38.0,72.0,108.0,167.0,146.0,0.0,60.0,252.0,180.0,437.0,273.0,4496.0,61.0
30,0.0,37.0,44.0,61.0,49.0,61.0,0.0,56.0,66.0,107.0,149.0,147.0,0.0,90.0,252.0,180.0,368.0,273.0,4400.0,61.0
31,0.0,32.0,40.0,61.0,46.0,61.0,0.0,54.0,87.0,99.0,137.0,142.0,0.0,90.0,234.0,180.0,345.0,273.0,4254.0,61.0
32,0.0,34.0,39.0,55.0,40.0,55.0,0.0,57.0,85.0,103.0,143.0,125.0,0.0,90.0,252.0,162.0,322.0,247.0,4058.0,55.0
33,0.0,37.0,52.0,64.0,50.0,64.0,0.0,34.0,75.0,101.0,154.0,144.0,0.0,61.0,288.0,181.0,414.0,286.0,4588.0,64.0
34,0.0,27.0,41.0,55.0,42.0,55.0,0.0,82.0,73.0,99.0,146.0,122.0,0.0,132.0,216.0,162.0,368.0,247.0,4386.0,55.0
35,0.0,34.0,35.0,49.0,39.0,49.0,0.0,104.0,85.0,93.0,131.0,123.0,0.0,150.0,270.0,150.0,345.0,221.0,4424.0,49.0
36,0.0,37.0,39.0,52.0,44.0,52.0,0.0,76.0,72.0,102.0,142.0,128.0,0.0,150.0,252.0,151.0,345.0,234.0,4428.0,52.0
37,0.0,32.0,41.0,61.0,53.0,61.0,0.0,38.0,79.0,112.0,151.0,142.0,0.0,60.0,216.0,180.0,391.0,273.0,4204.0,61.0
38,0.0,41.0,38.0,61.0,46.0,61.0,0.0,64.0,59.0,99.0,169.0,139.0,0.0,120.0,198.0,180.0,414.0,273.0,4602.0,61.0
39,0.0,38.0,47.0,61.0,51.0,61.0,0.0,82.0,66.0,105.0,154.0,124.0,0.0,120.0,270.0,180.0,437.0,273.0,4910.0,61.0
40,0.0,41.0,47.0,67.0,51.0,67.0,0.0,24.0,101.0,115.0,153.0,140.0,0.0,42.0,342.0,192.0,391.0,299.0,4614.0,67.0
41,0.0,31.0,36.0,58.0,40.0,58.0,0.0,91.0,42.0,114.0,141.0,145.0,0.0,141.0,180.0,171.0,322.0,260.0,4227.0,58.0
42,0.0,36.0,43.0,61.0,49.0,61.0,0.0,71.0,76.0,115.0,156.0,137.0,0.0,120.0,270.0,180.0,368.0,273.0,4634.0,61.0
43,0.0,33.0,39.0,52.0,41.0,52.0,0.0,78.0,83.0,83.0,138.0,123.0,0.0,121.0,252.0,151.0,322.0,234.0,4174.0,52.0
44,0.0,37.0,48.0,67.0,52.0,67.0,0.0,35.0,80.0,115.0,147.0,143.0,0.0,72.0,270.0,192.0,391.0,299.0,4578.0,67.0
45,0.0,34.0,42.0,55.0,45.0,55.0,0.0,65.0,65.0,105.0,145.0,129.0,0.0,120.0,216.0,162.0,368.0,247.0,4314.0,55.0
46,0.0,36.0,46.0,58.0,47.0,58.0,0.0,100.0,82.0,98.0,133.0,123.0,0.0,171.0,324.0,171.0,368.0,260.0,5023.0,58.0
47,0.0,33.0,39.0,61.0,51.0,61.0,0.0,73.0,73.0,96.0,147.0,129.0,0.0,120.0,252.0,180.0,368.0,273.0,4580.0,61.0
48,0.0,26.0,41.0,58.0,42.0,58.0,0.0,53.0,49.0,106.0,183.0,141.0,0.0,81.0,162.0,171.0,391.0,260.0,4089.0,58.0
49,0.0,25.0,45.0,58.0,46.0,58.0,0.0,39.0,109.0,105.0,153.0,122.0,0.0,60.0,306.0,171.0,391.0,260.0,4395.0,58.0
