,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,20.0,79.0,127.0,139.0,19.0,114.0,197.0,192.0,74.0,185.0,627.0,341.0,4458.0,139.0,6.0
1,21.0,81.0,33.0,225.0,31.0,118.0,32.0,332.0,76.0,193.0,130.0,556.0,3672.0,225.0,6.0
2,21.0,21.0,57.0,273.0,26.0,22.0,58.0,401.0,76.0,46.0,220.0,676.0,3420.0,273.0,6.0
3,21.0,45.0,21.0,261.0,28.0,63.0,19.0,396.0,76.0,103.0,76.0,646.0,3240.0,261.0,6.0
4,23.0,95.0,59.0,191.0,26.0,126.0,75.0,275.0,80.0,211.0,260.0,469.0,3933.0,191.0,6.0
5,20.0,32.0,128.0,176.0,24.0,41.0,197.0,259.0,74.0,74.0,654.0,434.0,4152.0,176.0,6.0
6,21.0,81.0,129.0,129.0,24.0,118.0,203.0,174.0,76.0,192.0,646.0,316.0,4494.0,129.0,6.0
7,20.0,20.0,68.0,272.0,25.0,22.0,69.0,393.0,74.0,44.0,254.0,674.0,3492.0,272.0,6.0
8,20.0,92.0,68.0,176.0,28.0,133.0,86.0,254.0,74.0,218.0,308.0,434.0,3978.0,176.0,6.0
9,19.0,79.0,91.0,163.0,19.0,116.0,121.0,246.0,71.0,177.0,386.0,402.0,3852.0,163.0,6.0
10,20.0,32.0,56.0,236.0,22.0,45.0,74.0,369.0,74.0,74.0,263.0,584.0,3429.0,236.0,6.0
11,18.0,66.0,90.0,174.0,21.0,98.0,125.0,270.0,69.0,152.0,393.0,431.0,3798.0,174.0,6.0
12,18.0,78.0,90.0,150.0,21.0,121.0,130.0,234.0,69.0,182.0,411.0,371.0,3852.0,150.0,6.0
13,22.0,102.0,102.0,126.0,19.0,164.0,170.0,181.0,78.0,249.0,532.0,306.0,4476.0,126.0,6.0
14,21.0,55.0,139.0,139.0,30.0,70.0,239.0,189.0,76.0,124.0,710.0,340.0,4350.0,139.0,6.0
15,19.0,43.0,91.0,211.0,25.0,60.0,112.0,314.0,71.0,99.0,377.0,522.0,3717.0,211.0,6.0
16,20.0,44.0,68.0,236.0,24.0,61.0,74.0,350.0,74.0,104.0,272.0,584.0,3636.0,236.0,6.0
17,22.0,34.0,70.0,238.0,23.0,44.0,91.0,348.0,78.0,75.0,306.0,588.0,3600.0,238.0,6.0
18,19.0,55.0,91.0,187.0,25.0,77.0,125.0,284.0,71.0,123.0,404.0,462.0,3762.0,187.0,6.0
19,17.0,77.0,113.0,125.0,20.0,113.0,197.0,178.0,66.0,182.0,603.0,309.0,4224.0,125.0,6.0
20,21.0,69.0,69.0,213.0,24.0,97.0,87.0,315.0,76.0,154.0,275.0,526.0,3783.0,213.0,6.0
21,21.0,129.0,93.0,129.0,27.0,191.0,133.0,179.0,76.0,316.0,464.0,316.0,4692.0,129.0,6.0
22,19.0,79.0,103.0,151.0,25.0,115.0,156.0,214.0,71.0,189.0,496.0,372.0,4164.0,151.0,6.0
23,21.0,21.0,57.0,261.0,27.0,26.0,63.0,399.0,76.0,46.0,220.0,646.0,3330.0,261.0,6.0
24,20.0,92.0,92.0,152.0,21.0,135.0,135.0,226.0,74.0,224.0,462.0,374.0,4296.0,152.0,6.0
25,17.0,53.0,125.0,137.0,21.0,76.0,211.0,200.0,66.0,126.0,667.0,339.0,4170.0,137.0,6.0
26,19.0,101.0,113.0,113.0,27.0,160.0,180.0,158.0,71.0,246.0,577.0,276.0,4461.0,113.0,6.0
27,20.0,32.0,128.0,152.0,21.0,42.0,225.0,235.0,74.0,71.0,660.0,374.0,3972.0,152.0,6.0
28,19.0,19.0,31.0,271.0,30.0,23.0,28.0,427.0,71.0,42.0,107.0,672.0,3015.0,271.0,6.0
29,22.0,94.0,58.0,166.0,28.0,149.0,73.0,252.0,78.0,225.0,242.0,408.0,3768.0,166.0,6.0
30,21.0,86.0,72.0,201.0,28.0,120.0,85.0,274.0,76.0,206.0,319.0,496.0,4137.0,201.0,6.0
31,19.0,50.0,26.0,266.0,21.0,72.0,31.0,400.0,71.0,114.0,107.0,657.0,3402.0,266.0,6.0
32,19.0,43.0,127.0,139.0,29.0,59.0,209.0,210.0,71.0,102.0,651.0,342.0,4017.0,139.0,6.0
33,22.0,45.0,129.0,165.0,27.0,57.0,206.0,233.0,78.0,102.0,666.0,405.0,4293.0,165.0,6.0
34,21.0,32.0,116.0,200.0,23.0,42.0,156.0,309.0,76.0,73.0,495.0,493.0,3858.0,200.0,6.0
35,21.0,68.0,44.0,248.0,29.0,91.0,49.0,358.0,76.0,163.0,189.0,613.0,3840.0,248.0,6.0
