,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,22.0,110.0,110.0,110.0,26.0,152.0,175.0,165.0,78.0,263.0,552.0,263.0,4491.0,110.0,2.0
1,21.0,117.0,117.0,117.0,27.0,159.0,169.0,168.0,76.0,286.0,582.0,286.0,4776.0,117.0,2.0
2,23.0,111.0,111.0,111.0,26.0,163.0,170.0,151.0,80.0,264.0,554.0,264.0,4518.0,111.0,2.0
3,19.0,107.0,107.0,107.0,28.0,154.0,177.0,148.0,71.0,257.0,545.0,257.0,4374.0,107.0,2.0
4,23.0,107.0,113.0,113.0,21.0,144.0,179.0,169.0,80.0,259.0,560.0,271.0,4527.0,113.0,2.0
5,19.0,101.0,113.0,113.0,28.0,149.0,186.0,160.0,71.0,246.0,577.0,276.0,4461.0,113.0,2.0
6,18.0,114.0,114.0,114.0,22.0,173.0,187.0,162.0,69.0,281.0,612.0,279.0,4773.0,114.0,2.0
7,19.0,107.0,107.0,107.0,23.0,164.0,173.0,153.0,71.0,257.0,545.0,257.0,4374.0,107.0,2.0
8,20.0,104.0,104.0,104.0,28.0,164.0,164.0,170.0,74.0,254.0,516.0,254.0,4278.0,104.0,2.0
9,19.0,113.0,113.0,113.0,26.0,172.0,166.0,177.0,71.0,276.0,577.0,276.0,4641.0,113.0,2.0
10,30.0,102.0,102.0,102.0,43.0,156.0,175.0,146.0,105.0,251.0,548.0,251.0,4533.0,102.0,2.0
11,23.0,113.0,113.0,113.0,23.0,153.0,178.0,166.0,80.0,271.0,560.0,271.0,4599.0,113.0,2.0
12,23.0,95.0,119.0,119.0,21.0,137.0,172.0,184.0,80.0,224.0,592.0,289.0,4479.0,119.0,2.0
13,18.0,109.0,109.0,109.0,27.0,168.0,178.0,149.0,69.0,266.0,585.0,266.0,4563.0,109.0,2.0
14,19.0,115.0,115.0,115.0,22.0,162.0,168.0,176.0,71.0,282.0,614.0,282.0,4806.0,115.0,2.0
15,20.0,108.0,108.0,108.0,27.0,150.0,173.0,158.0,74.0,259.0,548.0,259.0,4419.0,108.0,2.0
16,20.0,114.0,114.0,114.0,22.0,174.0,169.0,166.0,74.0,278.0,580.0,278.0,4686.0,114.0,2.0
17,22.0,106.0,106.0,106.0,25.0,172.0,178.0,152.0,78.0,258.0,520.0,258.0,4350.0,106.0,2.0
18,22.0,118.0,118.0,118.0,20.0,165.0,165.0,179.0,78.0,288.0,584.0,288.0,4812.0,118.0,2.0
19,18.0,102.0,102.0,102.0,19.0,160.0,181.0,148.0,69.0,251.0,548.0,251.0,4317.0,102.0,2.0
20,19.0,104.0,116.0,116.0,18.0,141.0,184.0,166.0,71.0,252.0,619.0,282.0,4641.0,116.0,2.0
21,21.0,115.0,115.0,115.0,27.0,166.0,174.0,164.0,76.0,280.0,582.0,280.0,4722.0,115.0,2.0
22,24.0,108.0,108.0,108.0,20.0,168.0,162.0,160.0,82.0,261.0,530.0,261.0,4431.0,108.0,2.0
23,20.0,114.0,114.0,114.0,23.0,181.0,162.0,170.0,74.0,278.0,580.0,278.0,4686.0,114.0,2.0
24,21.0,105.0,117.0,117.0,23.0,155.0,184.0,172.0,76.0,256.0,582.0,286.0,4596.0,117.0,2.0
25,33.0,115.0,115.0,115.0,43.0,171.0,152.0,163.0,130.0,280.0,582.0,280.0,5046.0,115.0,2.0
26,27.0,104.0,111.0,111.0,37.0,154.0,173.0,152.0,110.0,254.0,566.0,269.0,4689.0,111.0,2.0
27,24.0,120.0,108.0,120.0,26.0,177.0,154.0,170.0,82.0,291.0,530.0,291.0,4701.0,120.0,2.0
28,18.0,102.0,102.0,102.0,26.0,163.0,189.0,150.0,69.0,251.0,548.0,251.0,4317.0,102.0,2.0
29,19.0,107.0,107.0,107.0,26.0,155.0,169.0,162.0,71.0,257.0,545.0,257.0,4374.0,107.0,2.0
