,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,11.0,23.0,23.0,227.0,23.0,23.0,16.0,30.0,24.0,340.0,57.0,38.0,48.0,51.0,84.0,564.0,141.0,89.0,3458.0,227.0,8.0
1,11.0,35.0,11.0,121.0,11.0,109.0,20.0,51.0,13.0,175.0,15.0,237.0,48.0,81.0,48.0,294.0,49.0,471.0,3880.0,121.0,8.0
2,12.0,22.0,60.0,94.0,24.0,82.0,14.0,32.0,119.0,132.0,42.0,191.0,51.0,51.0,339.0,231.0,91.0,358.0,4118.0,94.0,8.0
3,13.0,13.0,13.0,139.0,25.0,91.0,17.0,18.0,12.0,205.0,59.0,195.0,55.0,30.0,55.0,342.0,147.0,383.0,3821.0,139.0,8.0
4,11.0,11.0,24.0,106.0,24.0,106.0,17.0,14.0,38.0,145.0,59.0,238.0,48.0,24.0,120.0,259.0,141.0,457.0,3961.0,106.0,8.0
5,11.0,11.0,35.0,135.0,11.0,99.0,11.0,15.0,64.0,206.0,16.0,204.0,48.0,24.0,192.0,329.0,49.0,395.0,3771.0,135.0,8.0
6,11.0,11.0,11.0,121.0,23.0,109.0,17.0,13.0,13.0,171.0,62.0,228.0,48.0,24.0,48.0,294.0,141.0,463.0,3874.0,121.0,8.0
7,13.0,13.0,25.0,169.0,13.0,97.0,21.0,16.0,24.0,244.0,20.0,186.0,55.0,30.0,91.0,420.0,55.0,404.0,3879.0,169.0,8.0
8,11.0,37.0,23.0,121.0,11.0,108.0,19.0,61.0,29.0,176.0,20.0,216.0,48.0,88.0,111.0,294.0,49.0,442.0,3995.0,121.0,8.0
9,10.0,17.0,29.0,101.0,29.0,101.0,14.0,24.0,48.0,147.0,77.0,227.0,44.0,36.0,152.0,246.0,177.0,431.0,4106.0,101.0,8.0
10,12.0,24.0,48.0,132.0,48.0,48.0,8.0,33.0,72.0,196.0,120.0,77.0,51.0,57.0,231.0,327.0,261.0,174.0,4062.0,132.0,8.0
11,11.0,11.0,23.0,129.0,35.0,105.0,18.0,13.0,24.0,193.0,56.0,221.0,48.0,24.0,84.0,318.0,127.0,430.0,3866.0,129.0,8.0
12,11.0,11.0,23.0,114.0,23.0,114.0,14.0,13.0,35.0,160.0,35.0,256.0,48.0,24.0,120.0,279.0,88.0,492.0,3949.0,114.0,8.0
13,10.0,23.0,36.0,113.0,23.0,100.0,14.0,30.0,61.0,151.0,58.0,195.0,44.0,51.0,188.0,272.0,138.0,410.0,4145.0,113.0,8.0
14,13.0,13.0,37.0,217.0,13.0,37.0,14.0,17.0,60.0,336.0,18.0,64.0,55.0,30.0,199.0,540.0,55.0,145.0,3527.0,217.0,8.0
15,12.0,12.0,25.0,124.0,25.0,88.0,12.0,12.0,36.0,197.0,58.0,188.0,51.0,27.0,123.0,307.0,144.0,358.0,3766.0,124.0,8.0
16,12.0,12.0,12.0,129.0,12.0,129.0,15.0,13.0,13.0,182.0,19.0,278.0,51.0,27.0,51.0,318.0,52.0,553.0,3995.0,129.0,8.0
17,10.0,34.0,34.0,202.0,22.0,22.0,16.0,54.0,49.0,303.0,57.0,25.0,44.0,78.0,152.0,501.0,138.0,68.0,3515.0,202.0,8.0
18,13.0,13.0,73.0,121.0,25.0,49.0,11.0,19.0,142.0,189.0,57.0,94.0,55.0,30.0,379.0,300.0,147.0,191.0,3899.0,121.0,8.0
19,12.0,24.0,36.0,216.0,12.0,24.0,11.0,37.0,67.0,336.0,22.0,32.0,51.0,54.0,195.0,537.0,52.0,74.0,3330.0,216.0,8.0
20,11.0,23.0,59.0,113.0,11.0,89.0,18.0,32.0,100.0,155.0,12.0,192.0,48.0,54.0,300.0,276.0,49.0,381.0,4060.0,113.0,8.0
21,11.0,24.0,24.0,120.0,11.0,108.0,15.0,35.0,34.0,175.0,19.0,232.0,48.0,56.0,120.0,294.0,49.0,442.0,3830.0,120.0,8.0
22,11.0,18.0,23.0,102.0,42.0,102.0,13.0,27.0,35.0,144.0,102.0,216.0,48.0,39.0,120.0,249.0,219.0,434.0,4241.0,102.0,8.0
23,11.0,11.0,23.0,143.0,23.0,71.0,19.0,14.0,38.0,225.0,60.0,148.0,48.0,24.0,120.0,354.0,141.0,297.0,3606.0,143.0,8.0
24,12.0,12.0,12.0,148.0,48.0,76.0,16.0,14.0,12.0,222.0,101.0,142.0,51.0,27.0,51.0,362.0,222.0,288.0,3747.0,148.0,8.0
25,11.0,24.0,35.0,107.0,24.0,95.0,15.0,33.0,48.0,156.0,58.0,204.0,48.0,56.0,156.0,262.0,141.0,376.0,3946.0,107.0,8.0
26,12.0,12.0,24.0,192.0,12.0,72.0,11.0,16.0,24.0,293.0,21.0,151.0,51.0,27.0,87.0,477.0,52.0,284.0,3504.0,192.0,8.0
27,11.0,23.0,35.0,215.0,23.0,11.0,19.0,35.0,61.0,331.0,56.0,14.0,48.0,54.0,192.0,534.0,141.0,39.0,3510.0,215.0,8.0
28,12.0,24.0,24.0,108.0,12.0,96.0,21.0,37.0,37.0,165.0,19.0,223.0,51.0,54.0,123.0,267.0,52.0,416.0,3672.0,108.0,8.0
29,12.0,38.0,25.0,120.0,24.0,82.0,10.0,61.0,37.0,181.0,60.0,180.0,51.0,91.0,123.0,297.0,144.0,351.0,4092.0,120.0,8.0
30,11.0,35.0,35.0,95.0,35.0,95.0,17.0,52.0,44.0,131.0,76.0,191.0,48.0,84.0,156.0,234.0,180.0,405.0,4302.0,95.0,8.0
31,11.0,35.0,35.0,86.0,23.0,86.0,17.0,60.0,54.0,122.0,62.0,194.0,48.0,84.0,156.0,205.0,141.0,376.0,3946.0,86.0,8.0
32,10.0,22.0,22.0,120.0,22.0,96.0,13.0,29.0,31.0,182.0,31.0,215.0,44.0,51.0,116.0,291.0,85.0,410.0,3771.0,120.0,8.0
33,12.0,12.0,25.0,232.0,12.0,50.0,16.0,14.0,39.0,350.0,18.0,76.0,51.0,27.0,123.0,577.0,52.0,174.0,3472.0,232.0,8.0
34,12.0,25.0,12.0,184.0,12.0,77.0,17.0,39.0,10.0,285.0,20.0,144.0,51.0,57.0,51.0,457.0,52.0,292.0,3548.0,184.0,8.0
35,11.0,11.0,23.0,191.0,11.0,59.0,19.0,12.0,38.0,300.0,19.0,131.0,48.0,24.0,120.0,474.0,49.0,252.0,3418.0,191.0,8.0
36,12.0,24.0,12.0,216.0,12.0,60.0,18.0,33.0,11.0,330.0,21.0,95.0,51.0,54.0,51.0,537.0,52.0,206.0,3426.0,216.0,8.0
37,12.0,12.0,24.0,144.0,12.0,96.0,15.0,16.0,40.0,219.0,19.0,210.0,51.0,27.0,123.0,357.0,52.0,408.0,3748.0,144.0,8.0
38,12.0,12.0,12.0,252.0,12.0,24.0,18.0,17.0,14.0,398.0,22.0,31.0,51.0,27.0,51.0,627.0,52.0,74.0,3006.0,252.0,8.0
39,14.0,14.0,26.0,170.0,26.0,62.0,16.0,16.0,38.0,260.0,65.0,119.0,58.0,32.0,130.0,422.0,149.0,247.0,3780.0,170.0,8.0
40,11.0,11.0,11.0,124.0,23.0,111.0,18.0,12.0,14.0,182.0,34.0,252.0,48.0,24.0,48.0,304.0,88.0,442.0,3608.0,124.0,8.0
41,11.0,23.0,11.0,121.0,11.0,121.0,17.0,33.0,12.0,166.0,17.0,259.0,48.0,54.0,48.0,294.0,49.0,521.0,3918.0,121.0,8.0
42,12.0,12.0,12.0,144.0,24.0,84.0,12.0,14.0,13.0,233.0,70.0,172.0,51.0,27.0,51.0,357.0,144.0,337.0,3616.0,144.0,8.0
43,11.0,37.0,24.0,131.0,23.0,85.0,14.0,61.0,33.0,200.0,37.0,155.0,48.0,88.0,120.0,324.0,88.0,329.0,3816.0,131.0,8.0
44,12.0,12.0,24.0,192.0,24.0,72.0,20.0,14.0,32.0,272.0,55.0,118.0,51.0,27.0,123.0,477.0,144.0,266.0,3908.0,192.0,8.0
45,11.0,24.0,23.0,143.0,11.0,107.0,21.0,37.0,36.0,206.0,16.0,197.0,48.0,56.0,120.0,354.0,49.0,401.0,3846.0,143.0,8.0
46,12.0,12.0,48.0,144.0,36.0,60.0,15.0,16.0,81.0,226.0,62.0,110.0,51.0,27.0,231.0,357.0,130.0,224.0,3648.0,144.0,8.0
47,11.0,35.0,23.0,215.0,11.0,47.0,15.0,49.0,25.0,328.0,20.0,68.0,48.0,78.0,84.0,534.0,49.0,153.0,3418.0,215.0,8.0
48,11.0,11.0,23.0,179.0,23.0,71.0,19.0,13.0,34.0,266.0,55.0,127.0,48.0,24.0,120.0,444.0,141.0,285.0,3828.0,179.0,8.0
49,12.0,12.0,36.0,192.0,12.0,60.0,13.0,15.0,64.0,285.0,16.0,120.0,51.0,27.0,195.0,477.0,52.0,241.0,3656.0,192.0,8.0
