,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,12.0,12.0,18.0,714.0,1.0,3.0,1.0,148.0,4.0,4.0,6.0,238.0,11520.0,720.0
1,12.0,12.0,27.0,705.0,2.0,2.0,2.0,137.0,4.0,4.0,9.0,235.0,11520.0,720.0
2,12.0,12.0,12.0,720.0,0.0,3.0,0.0,156.0,4.0,4.0,4.0,240.0,11520.0,720.0
3,12.0,12.0,117.0,615.0,1.0,4.0,14.0,110.0,4.0,4.0,39.0,205.0,11520.0,720.0
4,12.0,12.0,45.0,687.0,2.0,2.0,5.0,137.0,4.0,4.0,15.0,229.0,11520.0,720.0
5,12.0,12.0,27.0,705.0,1.0,4.0,2.0,139.0,4.0,4.0,9.0,235.0,11520.0,720.0
6,12.0,12.0,24.0,708.0,3.0,3.0,2.0,149.0,4.0,4.0,8.0,236.0,11520.0,720.0
7,12.0,12.0,27.0,705.0,1.0,2.0,2.0,140.0,4.0,4.0,9.0,235.0,11520.0,720.0
8,12.0,12.0,33.0,699.0,1.0,2.0,3.0,142.0,4.0,4.0,11.0,233.0,11520.0,720.0
9,12.0,12.0,72.0,660.0,1.0,1.0,9.0,123.0,4.0,4.0,24.0,220.0,11520.0,720.0
10,12.0,12.0,12.0,720.0,0.0,2.0,0.0,138.0,4.0,4.0,4.0,240.0,11520.0,720.0
11,12.0,12.0,42.0,690.0,3.0,1.0,4.0,134.0,4.0,4.0,14.0,230.0,11520.0,720.0
12,12.0,12.0,270.0,462.0,1.0,2.0,34.0,86.0,4.0,4.0,90.0,154.0,11520.0,720.0
13,12.0,12.0,48.0,684.0,0.0,3.0,5.0,132.0,4.0,4.0,16.0,228.0,11520.0,720.0
14,12.0,12.0,42.0,690.0,0.0,4.0,5.0,144.0,4.0,4.0,14.0,230.0,11520.0,720.0
15,12.0,12.0,81.0,651.0,1.0,3.0,12.0,133.0,4.0,4.0,27.0,217.0,11520.0,720.0
16,12.0,12.0,21.0,711.0,3.0,4.0,1.0,140.0,4.0,4.0,7.0,237.0,11520.0,720.0
17,12.0,12.0,21.0,711.0,2.0,3.0,1.0,144.0,4.0,4.0,7.0,237.0,11520.0,720.0
18,12.0,12.0,21.0,711.0,0.0,2.0,1.0,147.0,4.0,4.0,7.0,237.0,11520.0,720.0
19,12.0,12.0,129.0,603.0,0.0,2.0,18.0,110.0,4.0,4.0,43.0,201.0,11520.0,720.0
20,12.0,12.0,54.0,678.0,2.0,2.0,7.0,142.0,4.0,4.0,18.0,226.0,11520.0,720.0
21,12.0,12.0,63.0,669.0,1.0,0.0,9.0,145.0,4.0,4.0,21.0,223.0,11520.0,720.0
22,12.0,12.0,27.0,705.0,1.0,3.0,2.0,142.0,4.0,4.0,9.0,235.0,11520.0,720.0
23,12.0,12.0,66.0,666.0,3.0,3.0,9.0,134.0,4.0,4.0,22.0,222.0,11520.0,720.0
24,12.0,12.0,72.0,660.0,1.0,4.0,9.0,128.0,4.0,4.0,24.0,220.0,11520.0,720.0
25,12.0,12.0,12.0,720.0,1.0,0.0,0.0,145.0,4.0,4.0,4.0,240.0,11520.0,720.0
