,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,33.0,93.0,128.0,500.0,31.0,119.0,165.0,722.0,96.0,196.0,520.0,1228.0,6996.0,500.0,6.0
1,33.0,140.0,81.0,500.0,32.0,190.0,81.0,739.0,96.0,307.0,296.0,1228.0,6990.0,500.0,6.0
2,33.0,93.0,141.0,493.0,33.0,131.0,166.0,739.0,96.0,202.0,528.0,1210.0,7002.0,493.0,6.0
3,33.0,186.0,33.0,498.0,28.0,253.0,22.0,759.0,96.0,412.0,96.0,1225.0,7011.0,498.0,6.0
4,33.0,189.0,33.0,493.0,31.0,252.0,19.0,726.0,96.0,418.0,96.0,1210.0,7002.0,493.0,6.0
5,33.0,80.0,164.0,500.0,24.0,101.0,172.0,743.0,96.0,166.0,579.0,1228.0,6993.0,500.0,6.0
6,33.0,33.0,165.0,500.0,28.0,32.0,247.0,731.0,96.0,61.0,748.0,1228.0,6870.0,500.0,6.0
7,33.0,45.0,188.0,500.0,29.0,49.0,224.0,724.0,96.0,88.0,723.0,1228.0,6957.0,500.0,6.0
8,33.0,141.0,93.0,496.0,29.0,197.0,89.0,729.0,96.0,310.0,304.0,1219.0,7005.0,496.0,6.0
9,33.0,124.0,117.0,496.0,37.0,166.0,110.0,707.0,96.0,271.0,384.0,1219.0,7011.0,496.0,6.0
10,33.0,67.0,163.0,499.0,29.0,82.0,192.0,701.0,96.0,142.0,638.0,1228.0,7026.0,499.0,6.0
11,33.0,33.0,200.0,500.0,27.0,34.0,241.0,730.0,96.0,61.0,780.0,1228.0,6966.0,500.0,6.0
12,33.0,33.0,212.0,500.0,29.0,34.0,249.0,740.0,96.0,61.0,795.0,1228.0,7011.0,500.0,6.0
13,33.0,105.0,105.0,500.0,33.0,127.0,113.0,750.0,96.0,223.0,432.0,1228.0,6894.0,500.0,6.0
14,33.0,57.0,164.0,500.0,43.0,66.0,192.0,731.0,96.0,118.0,643.0,1228.0,6897.0,500.0,6.0
15,33.0,69.0,165.0,491.0,35.0,90.0,200.0,737.0,96.0,142.0,656.0,1202.0,7005.0,491.0,6.0
16,33.0,116.0,104.0,500.0,27.0,150.0,107.0,774.0,96.0,250.0,391.0,1228.0,6933.0,500.0,6.0
17,33.0,80.0,129.0,500.0,27.0,97.0,153.0,740.0,96.0,169.0,540.0,1228.0,6894.0,500.0,6.0
18,33.0,33.0,188.0,500.0,35.0,34.0,238.0,737.0,96.0,61.0,772.0,1228.0,6942.0,500.0,6.0
19,33.0,57.0,153.0,500.0,31.0,67.0,191.0,764.0,96.0,115.0,648.0,1228.0,6894.0,500.0,6.0
20,33.0,165.0,55.0,499.0,30.0,227.0,57.0,719.0,96.0,364.0,186.0,1228.0,7002.0,499.0,6.0
21,33.0,92.0,141.0,500.0,38.0,114.0,141.0,721.0,96.0,199.0,520.0,1228.0,7014.0,500.0,6.0
22,33.0,116.0,116.0,500.0,26.0,153.0,121.0,725.0,96.0,250.0,407.0,1228.0,6981.0,500.0,6.0
23,33.0,33.0,201.0,489.0,36.0,32.0,234.0,730.0,96.0,61.0,819.0,1201.0,7002.0,489.0,6.0
24,33.0,33.0,189.0,500.0,26.0,31.0,243.0,725.0,96.0,61.0,772.0,1228.0,6942.0,500.0,6.0
25,33.0,57.0,176.0,500.0,30.0,64.0,198.0,747.0,96.0,115.0,672.0,1228.0,6966.0,500.0,6.0
26,33.0,104.0,129.0,500.0,26.0,131.0,129.0,728.0,96.0,223.0,440.0,1228.0,6918.0,500.0,6.0
27,33.0,33.0,201.0,500.0,27.0,31.0,220.0,739.0,96.0,61.0,764.0,1228.0,6918.0,500.0,6.0
28,33.0,33.0,198.0,498.0,21.0,28.0,226.0,737.0,96.0,61.0,800.0,1225.0,7017.0,498.0,6.0
29,33.0,189.0,33.0,493.0,30.0,271.0,23.0,713.0,96.0,418.0,96.0,1210.0,7002.0,493.0,6.0
30,33.0,153.0,69.0,500.0,30.0,199.0,51.0,733.0,96.0,334.0,232.0,1228.0,6960.0,500.0,6.0
31,33.0,57.0,177.0,500.0,27.0,64.0,189.0,755.0,96.0,118.0,628.0,1228.0,6852.0,500.0,6.0
32,33.0,185.0,33.0,497.0,24.0,251.0,22.0,754.0,96.0,412.0,96.0,1222.0,7002.0,497.0,6.0
33,33.0,112.0,117.0,496.0,27.0,137.0,122.0,755.0,96.0,238.0,448.0,1219.0,7005.0,496.0,6.0
34,33.0,81.0,141.0,500.0,28.0,101.0,170.0,746.0,96.0,172.0,540.0,1228.0,6912.0,500.0,6.0
35,33.0,177.0,33.0,500.0,22.0,233.0,19.0,725.0,96.0,394.0,96.0,1228.0,6912.0,500.0,6.0
36,33.0,69.0,164.0,500.0,28.0,83.0,178.0,739.0,96.0,145.0,600.0,1228.0,6930.0,500.0,6.0
37,33.0,33.0,189.0,499.0,25.0,30.0,273.0,708.0,96.0,61.0,792.0,1228.0,7002.0,499.0,6.0
38,33.0,45.0,176.0,500.0,33.0,54.0,238.0,710.0,96.0,88.0,723.0,1228.0,6957.0,500.0,6.0
39,33.0,80.0,153.0,500.0,38.0,101.0,153.0,714.0,96.0,169.0,556.0,1228.0,6942.0,500.0,6.0
40,33.0,105.0,129.0,486.0,31.0,143.0,146.0,702.0,96.0,229.0,492.0,1192.0,7002.0,486.0,6.0
41,33.0,33.0,200.0,500.0,25.0,32.0,243.0,704.0,96.0,61.0,780.0,1228.0,6966.0,500.0,6.0
42,33.0,44.0,189.0,500.0,28.0,52.0,230.0,725.0,96.0,88.0,728.0,1228.0,6972.0,500.0,6.0
43,33.0,189.0,33.0,497.0,30.0,253.0,20.0,714.0,96.0,412.0,96.0,1222.0,7002.0,497.0,6.0
44,33.0,45.0,187.0,499.0,29.0,51.0,233.0,729.0,96.0,88.0,746.0,1228.0,7026.0,499.0,6.0
45,33.0,69.0,164.0,500.0,26.0,84.0,180.0,737.0,96.0,142.0,607.0,1228.0,6933.0,500.0,6.0
46,33.0,105.0,128.0,500.0,21.0,155.0,149.0,707.0,96.0,226.0,448.0,1228.0,6960.0,500.0,6.0
47,33.0,189.0,33.0,495.0,26.0,254.0,17.0,748.0,96.0,415.0,96.0,1216.0,7002.0,495.0,6.0
48,33.0,141.0,81.0,493.0,30.0,183.0,90.0,719.0,96.0,304.0,324.0,1210.0,7002.0,493.0,6.0
49,33.0,81.0,153.0,500.0,28.0,108.0,169.0,732.0,96.0,169.0,548.0,1228.0,6918.0,500.0,6.0
