,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
36,11.0,35.0,59.0,59.0,59.0,59.0,13.0,45.0,112.0,80.0,189.0,113.0,48.0,84.0,336.0,144.0,417.0,239.0,4856.0,59.0,1.0
37,12.0,54.0,54.0,54.0,54.0,54.0,12.0,76.0,95.0,77.0,142.0,113.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
38,12.0,54.0,54.0,54.0,54.0,54.0,15.0,80.0,90.0,78.0,153.0,109.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
39,23.0,35.0,56.0,56.0,56.0,56.0,40.0,43.0,98.0,84.0,154.0,111.0,120.0,84.0,318.0,135.0,394.0,227.0,5067.0,56.0,1.0
40,11.0,59.0,59.0,59.0,35.0,59.0,17.0,94.0,106.0,89.0,90.0,121.0,48.0,144.0,336.0,144.0,233.0,239.0,4480.0,59.0,1.0
41,11.0,53.0,53.0,53.0,53.0,53.0,15.0,81.0,104.0,77.0,153.0,102.0,48.0,126.0,300.0,126.0,371.0,214.0,4662.0,53.0,1.0
42,12.0,54.0,54.0,54.0,54.0,54.0,14.0,78.0,104.0,70.0,136.0,125.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
43,11.0,53.0,53.0,53.0,53.0,53.0,18.0,74.0,98.0,78.0,150.0,108.0,48.0,121.0,300.0,126.0,371.0,214.0,4644.0,53.0,1.0
44,12.0,54.0,54.0,54.0,54.0,54.0,13.0,83.0,97.0,76.0,136.0,111.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
45,12.0,54.0,54.0,54.0,54.0,54.0,13.0,78.0,92.0,73.0,164.0,99.0,51.0,129.0,303.0,124.0,374.0,217.0,4728.0,54.0,1.0
46,12.0,54.0,54.0,54.0,54.0,54.0,14.0,80.0,101.0,71.0,140.0,124.0,51.0,129.0,303.0,124.0,374.0,217.0,4728.0,54.0,1.0
47,12.0,54.0,54.0,54.0,54.0,54.0,14.0,69.0,104.0,71.0,159.0,100.0,51.0,129.0,303.0,124.0,374.0,217.0,4728.0,54.0,1.0
48,12.0,60.0,60.0,60.0,47.0,60.0,16.0,87.0,103.0,76.0,124.0,134.0,51.0,144.0,339.0,147.0,305.0,242.0,4816.0,60.0,1.0
49,12.0,54.0,54.0,54.0,54.0,54.0,15.0,87.0,90.0,84.0,141.0,113.0,51.0,129.0,303.0,129.0,374.0,217.0,4740.0,54.0,1.0
