,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,20.0,210.0,65.0,210.0,1.0,27.0,5.0,27.0,4.0,42.0,13.0,42.0,2016.0,210.0
1,20.0,210.0,120.0,210.0,1.0,29.0,10.0,28.0,4.0,42.0,24.0,42.0,2016.0,210.0
2,30.0,20.0,20.0,55.0,2.0,1.0,1.0,4.0,6.0,4.0,4.0,11.0,2016.0,55.0
3,20.0,210.0,65.0,30.0,0.0,34.0,5.0,2.0,4.0,42.0,13.0,6.0,2016.0,210.0
4,20.0,210.0,20.0,210.0,1.0,23.0,0.0,25.0,4.0,42.0,4.0,42.0,2016.0,210.0
5,20.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2016.0,20.0
6,165.0,210.0,30.0,210.0,14.0,28.0,2.0,27.0,33.0,42.0,6.0,42.0,2016.0,210.0
7,45.0,210.0,20.0,210.0,3.0,23.0,0.0,26.0,9.0,42.0,4.0,42.0,2016.0,210.0
8,20.0,20.0,20.0,210.0,1.0,0.0,1.0,27.0,4.0,4.0,4.0,42.0,2016.0,210.0
9,20.0,210.0,20.0,20.0,1.0,22.0,1.0,1.0,4.0,42.0,4.0,4.0,2016.0,210.0
10,30.0,20.0,30.0,210.0,2.0,1.0,2.0,29.0,6.0,4.0,6.0,42.0,2016.0,210.0
11,30.0,20.0,20.0,30.0,2.0,0.0,1.0,2.0,6.0,4.0,4.0,6.0,2016.0,30.0
12,30.0,210.0,45.0,20.0,2.0,28.0,3.0,1.0,6.0,42.0,9.0,4.0,2016.0,210.0
13,20.0,185.0,20.0,210.0,1.0,16.0,1.0,27.0,4.0,37.0,4.0,42.0,2016.0,210.0
14,20.0,210.0,210.0,55.0,0.0,25.0,22.0,4.0,4.0,42.0,42.0,11.0,2016.0,210.0
15,20.0,20.0,20.0,210.0,0.0,1.0,1.0,25.0,4.0,4.0,4.0,42.0,2016.0,210.0
16,45.0,210.0,20.0,210.0,3.0,22.0,1.0,28.0,9.0,42.0,4.0,42.0,2016.0,210.0
17,20.0,20.0,20.0,210.0,0.0,0.0,1.0,22.0,4.0,4.0,4.0,42.0,2016.0,210.0
18,20.0,210.0,30.0,210.0,1.0,28.0,2.0,25.0,4.0,42.0,6.0,42.0,2016.0,210.0
19,20.0,30.0,20.0,210.0,0.0,2.0,1.0,25.0,4.0,6.0,4.0,42.0,2016.0,210.0
20,20.0,210.0,20.0,210.0,1.0,25.0,0.0,27.0,4.0,42.0,4.0,42.0,2016.0,210.0
21,20.0,20.0,30.0,210.0,1.0,1.0,2.0,25.0,4.0,4.0,6.0,42.0,2016.0,210.0
22,20.0,210.0,20.0,20.0,1.0,22.0,1.0,1.0,4.0,42.0,4.0,4.0,2016.0,210.0
23,30.0,210.0,30.0,20.0,2.0,23.0,2.0,0.0,6.0,42.0,6.0,4.0,2016.0,210.0
24,20.0,210.0,20.0,210.0,0.0,23.0,0.0,24.0,4.0,42.0,4.0,42.0,2016.0,210.0
25,20.0,20.0,20.0,45.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,9.0,2016.0,45.0
26,45.0,210.0,20.0,45.0,3.0,26.0,0.0,3.0,9.0,42.0,4.0,9.0,2016.0,210.0
27,20.0,210.0,20.0,210.0,1.0,21.0,0.0,23.0,4.0,42.0,4.0,42.0,2016.0,210.0
28,30.0,210.0,20.0,210.0,2.0,27.0,0.0,27.0,6.0,42.0,4.0,42.0,2016.0,210.0
29,210.0,210.0,75.0,210.0,20.0,29.0,6.0,27.0,42.0,42.0,15.0,42.0,2016.0,210.0
30,45.0,210.0,20.0,210.0,3.0,25.0,1.0,24.0,9.0,42.0,4.0,42.0,2016.0,210.0
31,45.0,20.0,20.0,210.0,3.0,1.0,1.0,29.0,9.0,4.0,4.0,42.0,2016.0,210.0
32,30.0,210.0,30.0,210.0,2.0,23.0,2.0,25.0,6.0,42.0,6.0,42.0,2016.0,210.0
33,210.0,210.0,30.0,210.0,20.0,29.0,2.0,33.0,42.0,42.0,6.0,42.0,2016.0,210.0
34,20.0,20.0,20.0,210.0,1.0,1.0,1.0,24.0,4.0,4.0,4.0,42.0,2016.0,210.0
35,20.0,210.0,20.0,210.0,1.0,21.0,1.0,35.0,4.0,42.0,4.0,42.0,2016.0,210.0
36,20.0,20.0,30.0,210.0,1.0,1.0,2.0,23.0,4.0,4.0,6.0,42.0,2016.0,210.0
37,20.0,210.0,140.0,210.0,1.0,25.0,12.0,27.0,4.0,42.0,28.0,42.0,2016.0,210.0
38,30.0,30.0,20.0,20.0,2.0,2.0,0.0,0.0,6.0,6.0,4.0,4.0,2016.0,30.0
39,20.0,210.0,65.0,210.0,1.0,29.0,5.0,28.0,4.0,42.0,13.0,42.0,2016.0,210.0
40,20.0,210.0,20.0,210.0,1.0,25.0,1.0,21.0,4.0,42.0,4.0,42.0,2016.0,210.0
41,20.0,210.0,20.0,210.0,0.0,25.0,1.0,28.0,4.0,42.0,4.0,42.0,2016.0,210.0
42,20.0,210.0,20.0,210.0,1.0,25.0,0.0,25.0,4.0,42.0,4.0,42.0,2016.0,210.0
43,20.0,20.0,20.0,210.0,1.0,1.0,1.0,26.0,4.0,4.0,4.0,42.0,2016.0,210.0
44,20.0,20.0,20.0,210.0,0.0,1.0,1.0,33.0,4.0,4.0,4.0,42.0,2016.0,210.0
45,20.0,210.0,30.0,20.0,0.0,30.0,2.0,1.0,4.0,42.0,6.0,4.0,2016.0,210.0
46,110.0,210.0,20.0,20.0,9.0,23.0,0.0,1.0,22.0,42.0,4.0,4.0,2016.0,210.0
47,20.0,210.0,20.0,210.0,0.0,26.0,1.0,28.0,4.0,42.0,4.0,42.0,2016.0,210.0
48,65.0,210.0,20.0,90.0,5.0,24.0,1.0,7.0,13.0,42.0,4.0,18.0,2016.0,210.0
49,20.0,20.0,20.0,210.0,1.0,1.0,0.0,26.0,4.0,4.0,4.0,42.0,2016.0,210.0
