,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,9.0,5.0,5.0,367.0,5.0,87.0,9.0,4.0,7.0,97.0,10.0,60.0,44.0,9.0,27.0,166.0,31.0,119.0,1497.0,478.0
1,103.0,262.0,5.0,5.0,5.0,98.0,46.0,106.0,7.0,9.0,10.0,63.0,162.0,167.0,27.0,9.0,31.0,120.0,2686.0,478.0
2,9.0,367.0,5.0,5.0,5.0,87.0,16.0,102.0,12.0,6.0,9.0,62.0,44.0,166.0,27.0,9.0,31.0,119.0,1968.0,478.0
3,9.0,227.0,5.0,227.0,5.0,5.0,9.0,100.0,9.0,90.0,8.0,11.0,44.0,166.0,27.0,166.0,31.0,21.0,2047.0,478.0
4,9.0,181.0,5.0,180.0,5.0,98.0,16.0,108.0,11.0,92.0,13.0,65.0,44.0,166.0,27.0,166.0,31.0,120.0,2443.0,478.0
5,45.0,131.0,5.0,130.0,37.0,130.0,41.0,84.0,6.0,89.0,40.0,102.0,144.0,149.0,27.0,149.0,120.0,199.0,3562.0,478.0
6,9.0,186.0,5.0,186.0,46.0,46.0,12.0,93.0,7.0,99.0,45.0,57.0,44.0,156.0,27.0,156.0,128.0,108.0,2693.0,478.0
7,9.0,181.0,5.0,180.0,5.0,98.0,10.0,96.0,7.0,100.0,15.0,59.0,44.0,166.0,27.0,166.0,31.0,120.0,2443.0,478.0
8,9.0,309.0,5.0,5.0,5.0,145.0,18.0,107.0,6.0,6.0,14.0,50.0,44.0,167.0,27.0,9.0,31.0,120.0,1978.0,478.0
9,9.0,201.0,5.0,199.0,5.0,59.0,14.0,96.0,7.0,104.0,9.0,66.0,44.0,162.0,27.0,161.0,31.0,114.0,2380.0,478.0
10,9.0,5.0,5.0,449.0,5.0,5.0,12.0,7.0,7.0,98.0,15.0,6.0,44.0,9.0,27.0,167.0,31.0,21.0,1108.0,478.0
11,45.0,177.0,5.0,177.0,37.0,37.0,40.0,78.0,11.0,95.0,33.0,54.0,144.0,149.0,27.0,149.0,120.0,100.0,3166.0,478.0
12,9.0,140.0,5.0,139.0,46.0,139.0,11.0,92.0,6.0,94.0,54.0,99.0,44.0,156.0,27.0,156.0,128.0,207.0,3089.0,478.0
13,9.0,201.0,5.0,199.0,5.0,59.0,12.0,94.0,4.0,100.0,12.0,64.0,44.0,162.0,27.0,161.0,31.0,114.0,2380.0,478.0
14,9.0,155.0,5.0,152.0,5.0,152.0,18.0,107.0,6.0,94.0,8.0,96.0,44.0,162.0,27.0,161.0,31.0,213.0,2776.0,478.0
15,9.0,5.0,5.0,449.0,5.0,5.0,9.0,6.0,2.0,94.0,11.0,13.0,44.0,9.0,27.0,167.0,31.0,21.0,1108.0,478.0
