,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,21.0,105.0,105.0,105.0,27.0,162.0,161.0,151.0,76.0,256.0,518.0,256.0,4314.0,105.0,1.0
1,20.0,116.0,116.0,116.0,16.0,156.0,172.0,167.0,74.0,284.0,580.0,284.0,4740.0,116.0,1.0
2,26.0,110.0,110.0,110.0,38.0,155.0,167.0,166.0,107.0,267.0,587.0,267.0,4806.0,110.0,1.0
3,29.0,113.0,113.0,113.0,37.0,151.0,161.0,165.0,114.0,273.0,558.0,273.0,4815.0,113.0,1.0
4,20.0,114.0,114.0,114.0,25.0,174.0,180.0,155.0,74.0,278.0,580.0,278.0,4686.0,114.0,1.0
5,31.0,103.0,103.0,103.0,43.0,148.0,168.0,160.0,125.0,252.0,513.0,252.0,4557.0,103.0,1.0
6,18.0,109.0,109.0,109.0,22.0,164.0,179.0,157.0,69.0,266.0,585.0,266.0,4563.0,109.0,1.0
7,22.0,112.0,112.0,112.0,21.0,173.0,165.0,162.0,78.0,270.0,558.0,270.0,4572.0,112.0,1.0
8,21.0,117.0,117.0,117.0,23.0,163.0,156.0,180.0,76.0,286.0,582.0,286.0,4776.0,117.0,1.0
9,20.0,114.0,114.0,114.0,22.0,171.0,173.0,165.0,74.0,278.0,580.0,278.0,4686.0,114.0,1.0
10,34.0,118.0,118.0,118.0,29.0,160.0,168.0,165.0,114.0,288.0,590.0,288.0,5046.0,118.0,1.0
11,22.0,112.0,112.0,112.0,24.0,163.0,159.0,168.0,78.0,270.0,558.0,270.0,4572.0,112.0,1.0
12,20.0,114.0,114.0,114.0,25.0,175.0,190.0,151.0,74.0,278.0,580.0,278.0,4686.0,114.0,1.0
13,18.0,114.0,114.0,114.0,21.0,169.0,175.0,168.0,69.0,281.0,612.0,281.0,4779.0,114.0,1.0
14,21.0,109.0,109.0,109.0,27.0,157.0,176.0,148.0,76.0,261.0,550.0,261.0,4455.0,109.0,1.0
15,18.0,103.0,103.0,103.0,25.0,153.0,177.0,150.0,69.0,251.0,553.0,251.0,4332.0,103.0,1.0
16,36.0,114.0,114.0,114.0,30.0,170.0,162.0,153.0,118.0,273.0,562.0,273.0,4851.0,114.0,1.0
17,22.0,110.0,110.0,110.0,28.0,167.0,158.0,159.0,78.0,263.0,552.0,263.0,4491.0,110.0,1.0
