,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,17.0,720.0,720.0,720.0,31.0,28.0,17.0,24.0,66.0,39.0,66.0,39.0,945.0,720.0,3.0
1,20.0,720.0,720.0,720.0,29.0,30.0,24.0,31.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
2,22.0,720.0,720.0,720.0,24.0,27.0,24.0,30.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
3,20.0,720.0,720.0,720.0,22.0,31.0,22.0,27.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
4,22.0,720.0,22.0,720.0,29.0,26.0,18.0,35.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
5,20.0,720.0,720.0,720.0,21.0,26.0,25.0,28.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
6,20.0,720.0,720.0,720.0,29.0,27.0,25.0,20.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
7,21.0,21.0,720.0,720.0,28.0,23.0,24.0,27.0,76.0,46.0,76.0,46.0,1098.0,720.0,3.0
8,19.0,720.0,720.0,720.0,28.0,29.0,25.0,25.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
9,21.0,720.0,720.0,720.0,27.0,35.0,22.0,29.0,76.0,46.0,76.0,46.0,1098.0,720.0,3.0
10,18.0,720.0,720.0,720.0,23.0,28.0,24.0,28.0,69.0,41.0,69.0,41.0,990.0,720.0,3.0
11,19.0,720.0,720.0,720.0,28.0,26.0,19.0,27.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
12,22.0,22.0,720.0,720.0,28.0,27.0,28.0,31.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
13,23.0,23.0,720.0,720.0,20.0,24.0,31.0,32.0,80.0,49.0,80.0,49.0,1161.0,720.0,3.0
14,18.0,720.0,18.0,720.0,25.0,32.0,18.0,25.0,69.0,41.0,69.0,41.0,990.0,720.0,3.0
15,22.0,720.0,720.0,720.0,24.0,28.0,24.0,30.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
16,22.0,720.0,720.0,720.0,16.0,29.0,28.0,28.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
17,19.0,19.0,720.0,720.0,24.0,26.0,29.0,24.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
18,19.0,19.0,720.0,720.0,21.0,27.0,29.0,30.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
19,20.0,20.0,720.0,720.0,30.0,25.0,25.0,26.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
20,18.0,720.0,720.0,720.0,28.0,26.0,21.0,26.0,69.0,41.0,69.0,41.0,990.0,720.0,3.0
21,18.0,720.0,720.0,720.0,22.0,28.0,25.0,27.0,69.0,41.0,69.0,41.0,990.0,720.0,3.0
22,24.0,720.0,720.0,720.0,21.0,33.0,25.0,31.0,82.0,51.0,82.0,51.0,1197.0,720.0,3.0
23,19.0,720.0,720.0,720.0,22.0,28.0,20.0,31.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
24,19.0,720.0,720.0,720.0,30.0,28.0,23.0,23.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
25,19.0,720.0,19.0,720.0,19.0,35.0,20.0,27.0,71.0,42.0,71.0,42.0,1017.0,720.0,3.0
26,22.0,720.0,720.0,720.0,27.0,36.0,25.0,28.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
27,20.0,720.0,720.0,720.0,28.0,25.0,21.0,29.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
28,21.0,720.0,720.0,720.0,27.0,28.0,22.0,29.0,76.0,46.0,76.0,46.0,1098.0,720.0,3.0
29,22.0,720.0,22.0,720.0,27.0,33.0,12.0,28.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
30,22.0,720.0,720.0,720.0,21.0,35.0,25.0,29.0,78.0,48.0,78.0,48.0,1134.0,720.0,3.0
31,21.0,21.0,720.0,720.0,20.0,25.0,23.0,33.0,76.0,46.0,76.0,46.0,1098.0,720.0,3.0
32,20.0,720.0,720.0,720.0,31.0,29.0,23.0,30.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
33,20.0,20.0,720.0,720.0,30.0,26.0,24.0,30.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
34,20.0,20.0,720.0,720.0,23.0,22.0,28.0,31.0,74.0,44.0,74.0,44.0,1062.0,720.0,3.0
35,21.0,720.0,720.0,720.0,23.0,29.0,25.0,23.0,76.0,46.0,76.0,46.0,1098.0,720.0,3.0
36,18.0,18.0,720.0,720.0,24.0,28.0,23.0,31.0,69.0,41.0,69.0,41.0,990.0,720.0,3.0
