,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.0,5.0,5.0,216.0,5.0,5.0,5.0,1.0,8.0,328.0,8.0,10.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
1,5.0,5.0,5.0,184.0,5.0,20.0,9.0,3.0,10.0,268.0,13.0,49.0,23.0,5.0,23.0,448.0,27.0,78.0,2001.0,199.0,1.0
2,5.0,5.0,5.0,216.0,5.0,5.0,3.0,3.0,8.0,337.0,11.0,10.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
3,5.0,5.0,5.0,216.0,5.0,5.0,5.0,3.0,8.0,304.0,11.0,10.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
4,5.0,5.0,5.0,202.0,5.0,12.0,5.0,3.0,4.0,275.0,16.0,27.0,23.0,5.0,23.0,494.0,27.0,46.0,2011.0,209.0,1.0
5,5.0,5.0,5.0,216.0,5.0,5.0,5.0,3.0,9.0,329.0,11.0,9.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
6,5.0,5.0,5.0,216.0,5.0,5.0,8.0,2.0,5.0,302.0,8.0,6.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
7,5.0,5.0,5.0,217.0,5.0,5.0,10.0,2.0,9.0,300.0,16.0,8.0,23.0,5.0,23.0,532.0,27.0,17.0,2009.0,217.0,1.0
8,5.0,5.0,5.0,217.0,5.0,5.0,4.0,1.0,8.0,321.0,11.0,8.0,23.0,5.0,23.0,532.0,27.0,17.0,2009.0,217.0,1.0
9,5.0,5.0,5.0,216.0,5.0,5.0,10.0,2.0,8.0,307.0,12.0,10.0,23.0,5.0,23.0,530.0,27.0,17.0,2003.0,216.0,1.0
10,5.0,5.0,5.0,217.0,5.0,5.0,6.0,3.0,1.0,312.0,12.0,9.0,23.0,5.0,23.0,532.0,27.0,17.0,2009.0,217.0,1.0
